session,blink_time_s,n_frames,peak_abs_ppd,peak_ppd_value,ppd_jitter_slice,amp_change_rel,motion_energy_max,motion_energy_mean,coh5,sm5,dev5,coh9,sm9,dev9,coh13,sm13,dev13,rb_coh9,rb_sm9,rb_dev9,global_ppd_median,global_ppd_std
hp_blink_20260617_184117,33.250000,16,1.177418,0.477574,0.202831,0.843645,0.473032,0.344186,0.656038,0.524643,0.184108,0.238207,0.772890,0.172927,0.329609,0.524643,0.088184,0.296856,0.297058,0.997583,0.786037
hp_blink_20260617_184117,2.500000,16,0.354467,0.108724,0.371587,0.336253,0.149004,1.158433,0.883088,1.311798,1.089367,0.839165,1.298156,0.978162,0.851663,1.148533,0.037632,0.717583,0.052443,0.997583,0.786037
hp_blink_20260617_184117,29.900000,16,2.019598,0.412650,0.208359,0.877780,0.398658,0.075240,0.157469,0.477806,0.170575,0.402550,0.423736,0.214627,0.449192,0.477806,0.015533,0.484390,0.032067,0.997583,0.786037
hp_blink_20260617_184117,23.850000,16,1.687851,0.072848,0.710586,0.569581,0.164939,0.280091,0.955989,0.292985,0.345827,0.953116,0.362838,0.350693,0.955770,0.366922,0.015268,0.884221,0.017267,0.997583,0.786037
hp_blink_20260617_184117,23.700000,16,1.687851,0.079273,0.021559,0.569581,0.190358,0.380507,0.953986,0.398861,0.381478,0.956419,0.398861,0.375324,0.899390,0.417310,0.008858,0.838094,0.010569,0.997583,0.786037
hp_blink_20260617_184117,31.300000,16,1.966221,0.436222,0.192615,1.079356,0.318709,0.447404,0.879255,0.508845,0.336627,0.827928,0.406590,0.118085,0.440335,0.268171,0.000000,0.000000,0.243991,0.997583,0.786037
hp_blink_20260617_184117,2.650000,16,0.354467,0.105538,0.238496,0.336253,0.163751,1.237926,0.960099,1.289373,1.149070,0.885155,1.298156,1.111439,0.864193,1.286100,0.042174,0.804194,0.052443,0.997583,0.786037
hp_blink_20260617_184117,5.750000,16,1.715956,0.376575,0.216383,0.863064,0.221321,0.056170,0.077481,0.724950,0.209495,0.346927,0.603859,0.287681,0.464867,0.618846,0.036184,0.623261,0.058057,0.997583,0.786037
hp_blink_20260617_184117,35.800000,16,1.754326,0.324816,0.802747,1.167637,0.373135,0.020375,0.899697,0.022646,0.010398,0.459172,0.022646,0.017759,0.546541,0.032494,0.035610,0.787589,0.045213,0.997583,0.786037
hp_blink_20260617_190655,71.200000,16,1.254294,0.856281,1.498815,1.397614,0.516086,0.000000,0.000000,0.073636,0.000000,0.000000,0.073636,0.000000,0.000000,0.085461,0.000000,0.000000,0.344775,0.106593,0.460166
hp_blink_20260617_190655,69.500000,16,0.979068,0.430495,0.869963,1.336896,0.585275,0.248933,0.580924,0.428513,0.159816,0.486831,0.328279,0.043493,0.132486,0.328279,0.000000,0.000000,0.192427,0.106593,0.460166
hp_blink_20260617_190655,0.550000,16,2.190231,1.871227,0.910846,1.030724,0.598171,0.000000,0.000000,0.529016,0.000000,0.000000,0.622774,0.000000,0.000000,0.529016,0.000000,0.000000,1.682599,0.106593,0.460166
